"TABLE_NAME","COLUMN_ID","COLUMN_NAME","UNIT","DATA_TYPE","DATA_LENGTH","PRIMARY_KEY","DESCRIPTION"
"DRYDEP_ANNUAL_WEB","1.0","SITE_ID","","CHAR","6","","Site identification code"
"DRYDEP_ANNUAL_WEB","2.0","YEAR","","NUMBER","4,0","","Calendar year of measurement, using standard Tuesday-Tuesday weeks"
"DRYDEP_ANNUAL_WEB","3.0","DATEON","","DATE","19","","Date and time standard Tuesday-Tuesday period began, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYDEP_ANNUAL_WEB","4.0","DATEOFF","","DATE","19","","Date and time standard Tuesday-Tuesday period ended, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYDEP_ANNUAL_WEB","5.0","VD_REPLACED_PCT","%","NUMBER","8,4","","Number of Vd values replaced, as percentage of total number expected; %."
"DRYDEP_ANNUAL_WEB","6.0","SO2_FLUX","kg-so2/ha","NUMBER","8,4","","Dry sulfur dioxide (SO2) flux; kg-SO2/ha."
"DRYDEP_ANNUAL_WEB","7.0","SO4_FLUX","kg-so4/ha","NUMBER","8,4","","Dry sulfate (SO4) flux; kg-SO4/ha."
"DRYDEP_ANNUAL_WEB","8.0","NO3_FLUX","kg-no3/ha","NUMBER","8,4","","Dry particulate nitrate (NO3) flux; kg-NO3/ha."
"DRYDEP_ANNUAL_WEB","9.0","HNO3_FLUX","kg-hno3/ha","NUMBER","8,4","","Dry nitric acid (HNO3) flux; kg-HNO3/ha."
"DRYDEP_ANNUAL_WEB","10.0","NH4_FLUX","kg-nh4/ha","NUMBER","8,4","","Dry particulate ammonium (NH4) flux; kg-NH4/ha."
"DRYDEP_ANNUAL_WEB","11.0","CA_FLUX","kg-ca/ha","NUMBER","8,4","","Dry calcium (Ca) flux; kg-Ca/ha."
"DRYDEP_ANNUAL_WEB","12.0","NA_FLUX","kg-na/ha","NUMBER","8,4","","Dry sodium (Na) flux; kg-Na/ha."
"DRYDEP_ANNUAL_WEB","13.0","MG_FLUX","kg-mg/ha","NUMBER","8,4","","Dry magnesium (Mg) flux; kg-Mg/ha."
"DRYDEP_ANNUAL_WEB","14.0","K_FLUX","kg-k/ha","NUMBER","8,4","","Dry potassium (K) flux; kg-K/ha."
"DRYDEP_ANNUAL_WEB","15.0","CL_FLUX","kg-cl/ha","NUMBER","8,4","","Dry chloride (Cl) flux; kg-Cl/ha."
