"SITE_ID","YEAR","PRECIP","N_WET_NH4","N_WET_NO3","N_WET","N_DRY_HNO3","N_DRY_NO3","N_DRY_NH4","N_DRY","N_TOTAL","S_WET_SO4","S_WET","S_DRY_SO2","S_DRY_SO4","S_DRY","S_TOTAL"
"WST109","2001.0","90.13","1.034","2.556","3.591","0.251","0.007","0.093","0.352","3.942","3.403","3.403","0.291","0.126","0.418","3.821"
"WST109","2013.0","119.13","1.602","1.876","3.479","0.091","0.007","0.04","0.138","3.616","2.057","2.057","0.079","0.05","0.128","2.185"
"WST109","2014.0","134.21","1.159","1.429","2.588","0.093","0.008","0.042","0.143","2.731","1.487","1.487","0.092","0.05","0.142","1.629"
"HBR183","2001.0","90.2","1.034","2.558","3.593","","","","","","3.407","3.407","","","",""
"HBR183","2015.0","122.39","1.68","1.447","3.127","","","","","","1.273","1.273","","","",""
"WST109","2002.0","115.77","1.711","2.89","4.601","0.234","0.006","0.086","0.326","4.928","4.433","4.433","0.253","0.113","0.366","4.799"
"WST109","2009.0","137.49","1.237","1.924","3.161","0.083","0.005","0.044","0.132","3.293","2.803","2.803","0.122","0.053","0.175","2.979"
"WST109","2015.0","122.39","1.68","1.447","3.127","0.098","0.007","0.037","0.142","3.269","1.273","1.273","0.114","0.043","0.158","1.431"
"WST109","2016.0","109.28","1.4","1.339","2.739","0.082","0.006","0.028","0.116","2.855","1.127","1.127","0.085","0.033","0.118","1.245"
"HBR183","1991.0","120.41","1.501","3.642","5.143","","","","","","7.223","7.223","","","",""
"HBR183","1998.0","124.12","1.641","3.559","5.2","","","","","","5.667","5.667","","","",""
"HBR183","2003.0","139.27","1.353","2.741","4.095","","","","","","4.883","4.883","","","",""
"HBR183","2004.0","119.98","1.431","2.825","4.256","","","","","","4.627","4.627","","","",""
"HBR183","2011.0","151.37","1.563","2.007","3.571","","","","","","2.503","2.503","","","",""
"HBR183","2014.0","134.26","1.159","1.432","2.591","","","","","","1.487","1.487","","","",""
"WST109","1998.0","124.09","1.641","3.559","5.2","0.211","0.006","0.077","0.293","5.493","5.667","5.667","0.257","0.109","0.366","6.032"
"WST109","2004.0","119.88","1.423","2.823","4.246","0.2","0.007","0.072","0.279","4.525","4.623","4.623","0.232","0.096","0.329","4.952"
"WST109","2017.0","124.53","1.734","1.951","3.685","0.081","0.006","0.027","0.114","3.799","1.247","1.247","0.08","0.03","0.11","1.356"
"HBR183","1993.0","107.29","1.167","3.295","4.461","","","","","","5.4","5.4","","","",""
"HBR183","1994.0","105.91","1.649","3.563","5.212","","","","","","5.613","5.613","","","",""
"HBR183","1995.0","115.62","1.976","3.681","5.656","","","","","","5.473","5.473","","","",""
"HBR183","1999.0","120.36","1.307","2.935","4.242","","","","","","4.773","4.773","","","",""
"HBR183","2012.0","130.41","1.906","2.114","4.019","","","","","","2.463","2.463","","","",""
"WST109","2012.0","130.39","1.906","2.114","4.019","0.105","0.006","0.043","0.154","4.173","2.463","2.463","0.075","0.051","0.126","2.589"
"WST109","2018.0","","","","","0.075","0.007","0.027","0.109","","","","0.049","0.029","0.078",""
"HBR183","2007.0","126.96","2.271","2.407","4.678","","","","","","5.287","5.287","","","",""
"HBR183","2013.0","119.17","1.602","1.879","3.481","","","","","","2.057","2.057","","","",""
"HBR183","2016.0","109.26","1.4","1.339","2.739","","","","","","1.127","1.127","","","",""
"WST109","1989.0","128.71","2.403","4.331","6.734","0.399","0.011","0.145","0.555","7.289","8.023","8.023","0.671","0.216","0.886","8.91"
"WST109","1990.0","152.74","1.781","4.001","5.782","0.376","0.005","0.119","0.501","6.283","7.943","7.943","0.51","0.195","0.705","8.649"
"WST109","1994.0","105.88","1.649","3.563","5.212","0.274","0.007","0.091","0.371","5.583","5.613","5.613","0.393","0.145","0.538","6.152"
"WST109","2003.0","139.19","1.353","2.741","4.095","","","","","","4.88","4.88","","","",""
"WST109","2006.0","138.38","1.268","2.172","3.44","0.133","0.006","0.065","0.204","3.644","3.867","3.867","0.174","0.089","0.263","4.129"
"WST109","2011.0","151.37","1.563","2.007","3.571","0.078","0.004","0.035","0.118","3.689","2.503","2.503","0.087","0.043","0.13","2.634"
"HBR183","1990.0","152.84","1.781","4.004","5.785","","","","","","7.947","7.947","","","",""
"HBR183","2005.0","156.83","1.734","2.529","4.263","","","","","","5.107","5.107","","","",""
"HBR183","2006.0","138.38","1.268","2.172","3.44","","","","","","3.867","3.867","","","",""
"HBR183","2008.0","155.98","1.478","2.599","4.077","","","","","","4.18","4.18","","","",""
"HBR183","2009.0","137.54","1.244","1.926","3.171","","","","","","2.807","2.807","","","",""
"HBR183","2010.0","130.05","1.268","1.567","2.835","","","","","","2.48","2.48","","","",""
"WST109","1993.0","107.24","1.167","3.292","4.459","0.267","0.007","0.085","0.36","4.819","5.397","5.397","0.418","0.136","0.554","5.951"
"WST109","1999.0","120.31","1.307","2.933","4.24","0.244","0.008","0.083","0.335","4.575","4.773","4.773","0.272","0.111","0.383","5.157"
"WST109","2008.0","155.97","1.478","2.599","4.077","0.127","0.005","0.054","0.186","4.263","4.18","4.18","0.166","0.069","0.234","4.414"
"HBR183","2002.0","115.87","1.711","2.893","4.604","","","","","","4.437","4.437","","","",""
"WST109","2000.0","123.14","1.703","3.365","5.068","0.214","0.007","0.079","0.299","5.367","5.337","5.337","0.26","0.102","0.362","5.699"
"WST109","1991.0","120.31","1.493","3.64","5.133","0.266","0.006","0.099","0.371","5.504","7.217","7.217","0.383","0.15","0.533","7.75"
"WST109","1992.0","111.66","1.478","3.48","4.957","0.278","0.007","0.092","0.376","5.334","6.477","6.477","0.366","0.157","0.524","7.0"
"WST109","1996.0","152.13","1.89","4.019","5.909","0.29","0.009","0.088","0.387","6.296","6.593","6.593","0.288","0.12","0.408","7.001"
"WST109","1997.0","107.25","1.672","3.584","5.256","0.295","0.007","0.09","0.392","5.648","5.54","5.54","0.35","0.133","0.483","6.023"
"HBR183","1997.0","107.26","1.672","3.584","5.256","","","","","","5.54","5.54","","","",""
"WST109","1995.0","115.56","1.976","3.678","5.654","0.313","0.007","0.091","0.411","6.065","5.47","5.47","0.29","0.127","0.416","5.886"
"WST109","2005.0","156.82","1.734","2.529","4.263","0.157","0.005","0.071","0.232","4.496","5.107","5.107","0.223","0.094","0.318","5.425"
"WST109","2007.0","126.91","2.271","2.407","4.678","0.145","0.006","0.068","0.219","4.898","5.283","5.283","0.195","0.086","0.281","5.564"
"WST109","2010.0","130.05","1.268","1.567","2.835","0.081","0.005","0.041","0.127","2.962","2.48","2.48","0.097","0.049","0.146","2.626"
"HBR183","2000.0","123.21","1.703","3.367","5.07","","","","","","5.34","5.34","","","",""
"HBR183","1989.0","128.83","2.403","4.333","6.737","","","","","","8.03","8.03","","","",""
"HBR183","1992.0","111.77","1.478","3.482","4.96","","","","","","6.483","6.483","","","",""
"HBR183","1996.0","152.2","1.898","4.022","5.919","","","","","","6.597","6.597","","","",""
"HBR183","2017.0","124.43","1.734","1.949","3.683","","","","","","1.243","1.243","","","",""
