"SITE_ID","YEAR","PRECIP","CA","MG","K","NA","NH4","NO3","CL","SO4","PH","CA_D","MG_D","K_D","NA_D","NH4_D","NO3_D","INORG_N","CL_D","SO4_D","H_D","H","UPDATE_DATE"
"WST109","2011.0","151.37","0.038","0.011","0.014","0.06","0.13","0.59","0.11","0.5","4.93","0.58","0.17","0.21","0.91","2.01","8.89","3.57","1.65","7.51","0.18","0.0117","01/25/2018 21:35:31"
"WST109","2012.0","130.39","0.056","0.011","0.016","0.042","0.19","0.72","0.07","0.57","4.91","0.73","0.14","0.21","0.55","2.45","9.36","4.02","0.95","7.39","0.16","0.0123","01/25/2018 21:42:52"
"HBR183","2010.0","130.05","0.053","0.014","0.014","0.082","0.12","0.53","0.15","0.57","4.9","0.69","0.18","0.18","1.07","1.63","6.94","2.83","2.0","7.44","0.16","0.0126","01/25/2018 21:28:10"
"WST109","2010.0","130.05","0.053","0.014","0.014","0.082","0.12","0.53","0.15","0.57","4.9","0.69","0.18","0.18","1.07","1.63","6.94","2.83","2.0","7.44","0.16","0.0126","01/25/2018 21:28:10"
"WST109","2007.0","126.91","0.054","0.011","0.014","0.053","0.23","0.84","0.11","1.25","4.62","0.69","0.14","0.18","0.67","2.92","10.66","4.68","1.37","15.85","0.3","0.024","01/25/2018 21:06:00"
"HBR183","2008.0","155.98","0.045","0.01","0.011","0.06","0.12","0.74","0.11","0.8","4.7","0.7","0.16","0.17","0.94","1.9","11.51","4.08","1.76","12.54","0.31","0.02","01/25/2018 21:13:23"
"WST109","2008.0","155.97","0.045","0.01","0.011","0.06","0.12","0.74","0.11","0.8","4.7","0.7","0.16","0.17","0.94","1.9","11.51","4.08","1.76","12.54","0.31","0.02","01/25/2018 21:13:23"
"HBR183","2009.0","137.54","0.04","0.008","0.01","0.05","0.12","0.62","0.09","0.61","4.83","0.55","0.11","0.14","0.69","1.6","8.53","3.17","1.24","8.42","0.2","0.0148","01/25/2018 21:20:47"
"WST109","2009.0","137.49","0.04","0.008","0.01","0.05","0.12","0.62","0.09","0.61","4.83","0.55","0.11","0.14","0.69","1.59","8.52","3.17","1.24","8.41","0.2","0.0148","01/25/2018 21:20:47"
"HBR183","2011.0","151.37","0.038","0.011","0.014","0.06","0.13","0.59","0.11","0.5","4.93","0.58","0.17","0.21","0.91","2.01","8.89","3.57","1.65","7.51","0.18","0.0117","01/25/2018 21:35:31"
"WST109","2005.0","156.82","0.038","0.01","0.012","0.073","0.14","0.71","0.13","0.98","4.66","0.6","0.16","0.19","1.15","2.23","11.2","4.26","2.1","15.32","0.34","0.0219","01/25/2018 20:51:08"
"HBR183","2006.0","138.38","0.046","0.012","0.017","0.073","0.12","0.69","0.14","0.84","4.69","0.64","0.17","0.24","1.01","1.63","9.62","3.44","1.94","11.6","0.28","0.0204","01/25/2018 20:58:33"
"WST109","2006.0","138.38","0.046","0.012","0.017","0.073","0.12","0.69","0.14","0.84","4.69","0.64","0.17","0.24","1.01","1.63","9.62","3.44","1.94","11.6","0.28","0.0204","01/25/2018 20:58:33"
"WST109","2000.0","123.14","0.058","0.01","0.017","0.046","0.18","1.21","0.1","1.3","4.5","0.71","0.12","0.21","0.57","2.19","14.9","5.07","1.21","16.01","0.39","0.0316","01/25/2018 20:14:12"
"HBR183","2001.0","90.2","0.056","0.01","0.011","0.052","0.15","1.26","0.11","1.13","4.52","0.51","0.09","0.1","0.47","1.33","11.33","3.6","0.97","10.22","0.27","0.0302","01/25/2018 20:21:33"
"WST109","2001.0","90.13","0.056","0.01","0.011","0.052","0.15","1.26","0.11","1.13","4.52","0.5","0.09","0.1","0.47","1.33","11.32","3.59","0.97","10.21","0.27","0.0302","01/25/2018 20:21:33"
"HBR183","2002.0","115.87","0.056","0.01","0.011","0.049","0.19","1.11","0.1","1.15","4.59","0.65","0.12","0.13","0.57","2.2","12.81","4.61","1.16","13.31","0.3","0.0257","01/25/2018 20:28:55"
"WST109","2003.0","139.19","0.048","0.014","0.012","0.099","0.13","0.87","0.19","1.05","4.6","0.67","0.19","0.17","1.38","1.74","12.14","4.09","2.64","14.64","0.35","0.0251","01/25/2018 20:36:20"
"HBR183","2005.0","156.83","0.038","0.01","0.012","0.073","0.14","0.71","0.13","0.98","4.66","0.6","0.16","0.19","1.15","2.23","11.2","4.26","2.1","15.32","0.34","0.0219","01/25/2018 20:51:08"
"HBR183","2007.0","126.96","0.054","0.011","0.014","0.053","0.23","0.84","0.11","1.25","4.62","0.69","0.14","0.18","0.67","2.92","10.66","4.68","1.37","15.86","0.3","0.024","01/25/2018 21:06:00"
"HBR183","2004.0","119.98","0.051","0.01","0.011","0.063","0.15","1.04","0.12","1.16","4.52","0.61","0.12","0.13","0.76","1.84","12.51","4.25","1.49","13.88","0.36","0.0302","01/25/2018 20:43:44"
"WST109","2004.0","119.88","0.051","0.01","0.011","0.063","0.15","1.04","0.12","1.16","4.52","0.61","0.12","0.13","0.76","1.83","12.5","4.25","1.49","13.87","0.36","0.030199","01/25/2018 20:43:44"
"WST109","2013.0","119.13","0.042","0.01","0.016","0.049","0.17","0.7","0.09","0.52","4.95","0.5","0.12","0.19","0.58","2.06","8.31","3.48","1.05","6.17","0.13","0.01122","01/25/2018 21:50:02"
"WST109","2002.0","115.77","0.056","0.01","0.011","0.049","0.19","1.11","0.1","1.15","4.59","0.65","0.12","0.13","0.57","2.2","12.8","4.6","1.16","13.3","0.3","0.0257","01/25/2018 20:28:55"
"HBR183","2003.0","139.27","0.048","0.014","0.012","0.099","0.13","0.87","0.19","1.05","4.6","0.67","0.2","0.17","1.38","1.74","12.14","4.1","2.65","14.65","0.35","0.0251","01/25/2018 20:36:20"
"HBR183","2000.0","123.21","0.058","0.01","0.017","0.046","0.18","1.21","0.1","1.3","4.5","0.71","0.12","0.21","0.57","2.19","14.91","5.07","1.21","16.02","0.39","0.0316","01/25/2018 20:14:12"
"HBR183","1996.0","152.2","0.05","0.02","0.016","0.163","0.16","1.17","0.28","1.3","4.48","0.76","0.3","0.24","2.48","2.44","17.81","5.92","4.26","19.79","0.5","0.0331","01/25/2018 19:45:05"
"WST109","1996.0","152.13","0.05","0.02","0.016","0.163","0.16","1.17","0.28","1.3","4.48","0.76","0.3","0.24","2.48","2.43","17.8","5.91","4.26","19.78","0.5","0.0331","01/25/2018 19:45:05"
"HBR183","2013.0","119.17","0.042","0.01","0.016","0.049","0.17","0.7","0.09","0.52","4.95","0.5","0.12","0.19","0.58","2.06","8.32","3.48","1.05","6.17","0.13","0.01122","01/25/2018 21:50:02"
"HBR183","1999.0","120.36","0.06","0.017","0.02","0.104","0.14","1.08","0.2","1.19","4.54","0.72","0.2","0.24","1.25","1.68","13.0","4.25","2.41","14.32","0.35","0.0288","01/25/2018 20:06:54"
"HBR183","2015.0","122.39","0.049","0.015","0.022","0.073","0.18","0.52","0.13","0.31","5.14","0.6","0.19","0.27","0.88","2.16","6.41","3.13","1.6","3.82","0.09","0.007321","02/07/2018 16:57:32"
"WST109","2015.0","122.39","0.049","0.015","0.022","0.073","0.18","0.52","0.13","0.31","5.14","0.6","0.19","0.27","0.89","2.16","6.41","3.13","1.6","3.82","0.09","0.007324","02/07/2018 16:57:32"
"WST109","1999.0","120.31","0.06","0.017","0.02","0.104","0.14","1.08","0.2","1.19","4.54","0.72","0.2","0.24","1.25","1.68","12.99","4.24","2.41","14.32","0.35","0.0288","01/25/2018 20:06:54"
"HBR183","2014.0","134.26","0.035","0.008","0.01","0.047","0.11","0.47","0.08","0.33","5.04","0.47","0.11","0.13","0.63","1.49","6.34","2.59","1.13","4.46","0.12","0.00912","01/24/2018 18:36:24"
"WST109","2014.0","134.21","0.035","0.008","0.01","0.047","0.11","0.47","0.08","0.33","5.04","0.47","0.11","0.13","0.63","1.49","6.33","2.59","1.13","4.46","0.12","0.00912","01/24/2018 18:36:24"
"HBR183","2018.0","135.02","0.048","0.016","0.021","0.123","0.13","0.44","0.23","0.22","5.17","0.65","0.22","0.29","1.68","1.74","5.95","2.7","3.16","3.04","0.09","0.006764","10/17/2019 15:48:23"
"WST109","2017.0","124.53","0.059","0.013","0.015","0.063","0.18","0.69","0.12","0.3","4.05","0.73","0.16","0.19","0.78","2.23","8.64","3.69","1.43","3.74","1.12","0.09","11/19/2018 17:07:51"
