"WaterYear","flow_mm","Ca_volwt","Mg_volwt","K_volwt","Na_volwt","Al_Ferron_volwt","TMAl_volwt","OMAl_volwt","Al_ICP_volwt","NH4_volwt","SO4_volwt","NO3_volwt","Cl_volwt","PO4_volwt","DOC_volwt","TDN_volwt","DON_volwt","DIC_volwt","SiO2_volwt","Mn_volwt","Fe_volwt","F_volwt","H_volwt","pH_volwt","SpecCond_volwt","ANC_volwt"
1963,663.801,1.73,0.37,0.25,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1964,552.037,1.1,0.38,0.23,0.85,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1965,740.187,1.51,0.39,0.19,0.87,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.8888,-888.88,-888.888,-888.888
1966,817.997,1.43,0.37,0.2,0.81,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0237,4.62,23.17,-888.888
1967,940.885,1.43,0.39,0.24,0.91,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.014,4.85,23.65,-888.888
1968,835.88,1.5,0.37,0.24,0.8,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0203,4.69,22.55,-888.888
1969,801.442,1.76,0.4,0.24,0.85,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0188,4.73,26.24,-888.888
1970,755.978,1.69,0.38,0.21,0.78,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0104,4.98,27.73,-888.888
1971,693.594,1.62,0.36,0.22,0.75,-888.888,-888.888,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.888,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,-888.88,0.0143,4.85,27.43,-888.888
1972,983.845,1.53,0.33,0.22,0.78,-888.888,-888.888,-888.888,-888.88,0.021,6.11,1.855,0.63,0.001,-888.88,-888.88,-888.88,-888.88,4.43,-888.88,-888.88,-888.88,0.0148,4.83,26.38,-888.888
